번호,등록번호,서명(자료명),저자,출판사,출판년도,청구기호,입수유형,자료형태,,,가격,,,도서상태,등록일
71,2671,민물 생물,교육문화사,교육문화사,1999,408 하68ㄱ v.15,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
72,2672,"개구리, 두꺼비",교육문화사,교육문화사,1999,408 하68ㄱ v.16,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
73,2673,가재들의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.17,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
74,2674,달팽이의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.18,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
75,2675,거북의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.19,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
76,2676,개똥벌레,교육문화사,교육문화사,1999,408 하68ㄱ v.20,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
77,2677,장수 풍뎅이의 일생,교육문화사,교육문화사,1999,408 하68ㄱ v.21,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
78,2678,잠자리의 일생,교육문화사,교육문화사,1999,408 하68ㄱ v.22,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
79,2679,사마귀의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.23,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
80,2680,물총새,교육문화사,교육문화사,1999,408 하68ㄱ v.24,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
81,2681,두루미의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.25,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
82,2682,바닷 물고기,교육문화사,교육문화사,1999,408 하68ㄱ v.26,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
83,2683,여우 가족,교육문화사,교육문화사,1999,408 하68ㄱ v.27,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
84,2684,매. 독수리,교육문화사,교육문화사,1999,408 하68ㄱ v.28,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
85,2685,펭귄들의 세상,교육문화사,교육문화사,1999,408 하68ㄱ v.29,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
86,2686,공룡 나라,교육문화사,교육문화사,1999,408 하68ㄱ v.30,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
87,2688,판다의 생활,교육문화사,교육문화사,1999,408 하68ㄱ v.32,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
88,2689,봄. 여름 별자리,교육문화사,교육문화사,1999,408 하68ㄱ v.33,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
89,2690,우주 행성 탐험,교육문화사,교육문화사,1999,408 하68ㄱ v.34,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
90,2691,구름의 여러 모양,교육문화사,교육문화사,1999,408 하68ㄱ v.35,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
91,2692,신비한 달의 세계,교육문화사,교육문화사,1999,408 하68ㄱ v.36,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
92,2693,석유. 화학,교육문화사,교육문화사,1999,408 하68ㄱ v.37,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
93,2694,지구의 모양,교육문화사,교육문화사,1999,408 하68ㄱ v.38,구입,단행본,,,￦,"10,000",,대출가능,2013-11-20
